region,cases,deaths,recovered
USA,4920917,160372,2483162
Brazil,2808076,96096,1970767
India,1926642,40081,1298528
Russia,866627,14490,669026
South Africa,521318,8884,363751
Mexico,449961,48869,300254
Peru,439890,20007,302457
Chile,362962,9745,336330
Spain,349894,28498,N/A
Colombia,334979,11315,180258
Iran,317483,17802,274932
UK,307184,46299,N/A
Saudi Arabia,282824,3020,245314
Pakistan,281136,6014,254286
Italy,248419,35171,200766
Bangladesh,246674,3267,141750
Turkey,234934,5765,218491
Argentina,213535,4009,96948
Germany,213423,9240,194700
France,192334,30296,82166
Iraq,137556,5094,98442
Canada,117878,8958,102596
Indonesia,116871,5452,73889
Philippines,115980,2123,66270
Qatar,111538,177,108254
Kazakhstan,94882,1058,67031
Egypt,94752,4912,45569
Ecuador,87963,5808,70985
Bolivia,83361,3320,25390
Sweden,81540,5760,N/A
Oman,79159,421,61421
Israel,76763,564,51331
Ukraine,75490,1788,41527
Dominican Republic,74295,1213,38824
Belgium,70648,9852,17639
Kuwait,69425,468,60906
Panama,69424,1522,43330
Belarus,68376,577,63425
UAE,61606,353,55385
Romania,56550,2521,28584
Netherlands,56381,6153,N/A
Singapore,54254,27,47768
Guatemala,53509,2072,41199
Portugal,51848,1740,37565
Poland,48789,1756,35321
Nigeria,44433,910,31851
Honduras,44299,1400,5921
Bahrain,42132,153,39335
Japan,39858,1016,27197
Armenia,39586,770,30850
Ghana,39075,199,35563
Kyrgyzstan,38110,1438,29513
Afghanistan,36829,1294,25742
Switzerland,35746,1981,31600
Azerbaijan,33103,476,28840
Algeria,32504,1248,22375
Uzbekistan,27554,169,18682
Morocco,27217,417,19629
Serbia,27033,614,14047
Ireland,26253,1763,23364
Moldova,26222,823,18167
Kenya,23873,391,9930
Austria,21566,719,19464
Venezuela,21438,187,11875
Nepal,21390,60,15156
Ethiopia,20336,356,8598
Costa Rica,19837,181,6590
Australia,19444,247,10799
El Salvador,18701,498,9111
Cameroon,17718,391,15320
Czechia,17286,383,11812
Ivory Coast,16293,103,11955
S. Korea,14456,302,13406
Denmark,14185,616,12753
Bosnia and Herzegovina,13138,379,6839
Palestine,13065,89,6618
Bulgaria,12414,415,6964
Madagascar,12222,127,9798
Sudan,11780,763,6194
North Macedonia,11289,511,7221
Senegal,10538,218,6988
Norway,9388,256,8752
DRC,9253,215,7821
Malaysia,9023,125,8702
French Guiana,7998,45,6873
Gabon,7646,51,5408
Tajikistan,7625,61,6399
Haiti,7532,171,4832
Finland,7512,331,6980
Guinea,7489,48,6591
Zambia,7022,176,5667
Luxembourg,6917,118,5537
Mauritania,6418,157,5209
Paraguay,5852,59,4645
Albania,5750,176,3054
Croatia,5376,154,4589
Djibouti,5330,59,5057
Lebanon,5271,65,1837
Greece,4855,209,1374
Equatorial Guinea,4821,83,2182
CAR,4618,59,1640
Hungary,4564,599,3431
Maldives,4446,19,2693
Malawi,4361,128,2047
Libya,4224,96,633
Zimbabwe,4221,81,1238
Nicaragua,3902,123,2913
Hong Kong,3755,43,2314
Congo,3546,58,1589
Montenegro,3361,53,1869
Thailand,3328,58,3144
Somalia,3220,93,1598
Mayotte,3023,39,2738
Eswatini,2856,49,1258
Sri Lanka,2838,11,2537
Cuba,2701,88,2382
Cabo Verde,2631,26,1930
Mali,2543,124,1946
Namibia,2540,12,211
South Sudan,2437,47,1175
Slovakia,2417,29,1777
Slovenia,2208,124,1884
Lithuania,2147,81,1650
Estonia,2113,63,1948
Rwanda,2099,5,1222
Mozambique,2029,15,765
Guinea-Bissau,1981,27,803
Suriname,1981,27,1278
Iceland,1926,10,1825
Benin,1914,38,1036
Sierra Leone,1855,67,1397
Yemen,1760,506,863
Tunisia,1584,51,1227
New Zealand,1569,22,1523
Angola,1344,59,503
Uruguay,1300,37,1048
Latvia,1257,32,1070
Jordan,1224,11,1155
Liberia,1221,78,699
Uganda,1213,5,1102
Georgia,1197,17,974
Cyprus,1180,19,856
Burkina Faso,1153,54,947
Niger,1152,69,1037
Togo,988,19,673
Andorra,939,52,825
Chad,938,75,814
Malta,926,9,668
Jamaica,920,12,745
Syria,892,46,283
Sao Tome and Principe,875,15,794
Botswana,804,2,63
Gambia,799,16,115
Lesotho,726,21,174
Bahamas,715,14,91
Vietnam,713,8,381
Diamond Princess,712,13,651
San Marino,699,42,657
Réunion,669,4,592
Channel Islands,595,47,533
Tanzania,509,21,183
Guyana,497,22,186
Taiwan,476,7,443
Burundi,395,1,304
Comoros,388,7,340
Myanmar,357,6,305
Mauritius,344,10,334
Isle of Man,336,24,312
Mongolia,293,NA,244
Eritrea,282,NA,225
Guadeloupe,272,14,179
Martinique,269,15,98
Cambodia,243,NA,202
Faeroe Islands,241,NA,192
Cayman Islands,203,1,202
Trinidad and Tobago,197,8,135
Gibraltar,189,NA,183
Bermuda,157,9,144
Papua New Guinea,153,2,44
Sint Maarten,150,16,64
Brunei,141,3,138
Barbados,132,7,98
Aruba,132,3,112
Monaco,123,4,105
Turks and Caicos,116,2,38
Seychelles,114,NA,113
Bhutan,105,NA,93
Antigua and Barbuda,92,3,75
Liechtenstein,89,1,85
Belize,72,2,31
French Polynesia,64,NA,62
St. Vincent Grenadines,55,NA,45
Saint Martin,53,3,41
Macao,46,NA,46
Curaçao,29,1,24
Fiji,27,1,18
Saint Lucia,25,NA,22
Timor-Leste,25,NA,24
Grenada,24,NA,23
New Caledonia,22,NA,22
Laos,20,NA,19
Dominica,18,NA,18
Saint Kitts and Nevis,17,NA,16
Greenland,14,NA,13
Montserrat,13,1,10
Caribbean Netherlands,13,NA,7
Falkland Islands,13,NA,13
Vatican City,12,NA,12
Western Sahara,10,1,8
MS Zaandam,9,2,NA
British Virgin Islands,9,1,7
St. Barth,9,NA,6
Saint Pierre Miquelon,4,NA,1
Anguilla,3,NA,3
China,84491,4634,79047
Total:,5786669,225579,3043362
Total:,4369845,150677,3009053
Total:,4643259,103092,3472036
Total:,2956575,204759,1778111
Total:,985644,21180,658929
Total:,21279,272,12468
Total:,721,15,651
Total:,18763992,705574,11974610
